Bin,Frequency
-777.68,1
-765.8586207,0
-754.0372414,0
-742.2158621,0
-730.3944828,1
-718.5731034,0
-706.7517241,0
-694.9303448,0
-683.1089655,1
-671.2875862,2
-659.4662069,0
-647.6448276,0
-635.8234483,0
-624.002069,1
-612.1806897,1
-600.3593103,0
-588.537931,0
-576.7165517,0
-564.8951724,0
-553.0737931,1
-541.2524138,0
-529.4310345,0
-517.6096552,2
-505.7882759,4
-493.9668966,1
-482.1455172,1
-470.3241379,0
-458.5027586,0
-446.6813793,1
-434.86,3
-423.0386207,1
-411.2172414,3
-399.3958621,0
-387.5744828,4
-375.7531034,5
-363.9317241,5
-352.1103448,6
-340.2889655,3
-328.4675862,2
-316.6462069,2
-304.8248276,6
-293.0034483,8
-281.182069,9
-269.3606897,8
-257.5393103,11
-245.717931,17
-233.8965517,21
-222.0751724,19
-210.2537931,27
-198.4324138,27
-186.6110345,18
-174.7896552,32
-162.9682759,35
-151.1468966,42
-139.3255172,58
-127.5041379,63
-115.6827586,72
-103.8613793,85
-92.04,102
-80.21862069,105
-68.39724138,130
-56.57586207,147
-44.75448276,203
-32.93310345,299
-21.11172414,400
-9.290344828,1133
2.531034483,11665
14.35241379,3621
26.1737931,773
37.99517241,405
49.81655172,299
61.63793103,257
73.45931034,171
85.28068966,147
97.10206897,118
108.9234483,92
120.7448276,92
132.5662069,77
144.3875862,58
156.2089655,52
168.0303448,36
179.8517241,45
191.6731034,39
203.4944828,29
215.3158621,27
227.1372414,16
238.9586207,12
250.78,11
262.6013793,16
274.4227586,10
286.2441379,9
298.0655172,5
309.8868966,8
321.7082759,3
333.5296552,6
345.3510345,6
357.1724138,1
368.9937931,3
380.8151724,3
392.6365517,1
404.457931,4
416.2793103,3
428.1006897,3
439.922069,1
451.7434483,1
463.5648276,0
475.3862069,0
487.2075862,1
499.0289655,4
510.8503448,1
522.6717241,0
534.4931034,0
546.3144828,0
558.1358621,1
569.9572414,0
581.7786207,0
593.6,0
605.4213793,0
617.2427586,0
629.0641379,0
640.8855172,0
652.7068966,0
664.5282759,0
676.3496552,0
688.1710345,0
699.9924138,0
711.8137931,0
723.6351724,0
735.4565517,0
747.277931,0
759.0993103,0
770.9206897,0
782.742069,0
794.5634483,0
806.3848276,0
818.2062069,0
830.0275862,0
841.8489655,0
853.6703448,0
865.4917241,0
877.3131034,0
889.1344828,0
900.9558621,1
912.7772414,0
924.5986207,0
More,1
