Date,Open,High,Low,Close,Volume,Adj Close
2013-06-06,1.74,1.79,1.72,1.76,15722700,1.76
2013-06-05,1.73,1.74,1.65,1.68,15226100,1.68
2013-06-04,1.75,1.76,1.72,1.74,16887600,1.74
2013-06-03,1.72,1.75,1.71,1.74,17180700,1.74
2013-05-31,1.68,1.72,1.68,1.68,13878800,1.68
2013-05-30,1.67,1.68,1.65,1.68,15159200,1.68
2013-05-29,1.62,1.62,1.58,1.58,14795800,1.58
2013-05-28,1.57,1.58,1.54,1.58,14328200,1.58
2013-05-24,1.44,1.49,1.44,1.48,4979300,1.48
2013-05-23,1.45,1.45,1.42,1.44,7204000,1.44
2013-05-22,1.51,1.54,1.45,1.45,7641400,1.45
2013-05-21,1.57,1.58,1.51,1.51,6915000,1.51
2013-05-20,1.58,1.58,1.55,1.56,5230500,1.56
2013-05-17,1.56,1.56,1.54,1.54,5880500,1.54
2013-05-16,1.54,1.57,1.53,1.54,10026600,1.54
2013-05-15,1.48,1.53,1.48,1.53,13374700,1.53
2013-05-14,1.48,1.51,1.48,1.51,6923200,1.51
2013-05-13,1.47,1.49,1.46,1.47,4663500,1.47
2013-05-10,1.50,1.51,1.47,1.50,6690200,1.50
2013-05-09,1.49,1.52,1.47,1.47,14255500,1.47
2013-05-08,1.44,1.49,1.43,1.48,12812900,1.48
2013-05-07,1.46,1.46,1.41,1.44,20764000,1.44
2013-05-06,1.31,1.34,1.31,1.31,5692000,1.31
2013-05-03,1.32,1.34,1.32,1.33,7698300,1.33
2013-05-02,1.34,1.35,1.32,1.33,6313500,1.33
2013-05-01,1.36,1.37,1.33,1.36,4210500,1.36
2013-04-30,1.34,1.38,1.33,1.37,9485300,1.37
2013-04-29,1.36,1.37,1.33,1.33,14613300,1.33
2013-04-26,1.35,1.38,1.33,1.38,16563100,1.38
2013-04-25,1.41,1.42,1.38,1.40,10638700,1.40
2013-04-24,1.34,1.40,1.34,1.40,6940500,1.40
2013-04-23,1.32,1.38,1.32,1.32,9631400,1.32
2013-04-22,1.34,1.34,1.31,1.31,5664000,1.31
2013-04-19,1.34,1.36,1.32,1.34,3200600,1.34
2013-04-18,1.37,1.37,1.32,1.33,7383700,1.33
2013-04-17,1.40,1.40,1.36,1.39,6376600,1.39
2013-04-16,1.42,1.43,1.40,1.42,4895500,1.42
2013-04-15,1.46,1.47,1.40,1.40,9162100,1.40
2013-04-12,1.46,1.47,1.45,1.45,2974400,1.45
2013-04-11,1.48,1.49,1.45,1.46,9918900,1.46
2013-04-10,1.50,1.50,1.46,1.48,12648200,1.48
2013-04-09,1.39,1.43,1.38,1.42,15691000,1.42
2013-04-08,1.39,1.39,1.34,1.34,11003500,1.34
2013-04-05,1.40,1.41,1.38,1.38,9941800,1.38
2013-04-04,1.40,1.41,1.39,1.41,16567600,1.41
2013-04-03,1.33,1.34,1.27,1.28,10190200,1.28
2013-04-02,1.32,1.34,1.31,1.31,5051200,1.31
2013-04-01,1.36,1.37,1.32,1.32,6863000,1.32
2013-03-28,1.34,1.35,1.33,1.33,4631200,1.33
2013-03-27,1.31,1.33,1.30,1.30,8051700,1.30
2013-03-26,1.34,1.35,1.33,1.35,5264000,1.35
2013-03-25,1.38,1.39,1.31,1.33,25490900,1.33
2013-03-22,1.41,1.43,1.40,1.40,22033200,1.40
2013-03-21,1.44,1.46,1.42,1.45,21368200,1.45
2013-03-20,1.49,1.50,1.46,1.47,11283000,1.47
2013-03-19,1.46,1.49,1.45,1.47,21878500,1.47
2013-03-18,1.45,1.49,1.44,1.47,9320400,1.47
2013-03-15,1.50,1.52,1.49,1.50,7345300,1.50
2013-03-14,1.50,1.52,1.47,1.52,15414000,1.52
2013-03-13,1.46,1.47,1.44,1.44,9327800,1.44
2013-03-12,1.50,1.50,1.47,1.48,7660200,1.48
2013-03-11,1.47,1.48,1.46,1.46,3680500,1.46
2013-03-08,1.50,1.51,1.47,1.48,9302400,1.48
2013-03-07,1.45,1.50,1.44,1.50,19807600,1.50
2013-03-06,1.45,1.46,1.41,1.42,9871600,1.42
2013-03-05,1.46,1.47,1.44,1.45,9537200,1.45
2013-03-04,1.37,1.40,1.36,1.39,5383500,1.39
2013-03-01,1.36,1.41,1.35,1.41,8195700,1.41
2013-02-28,1.38,1.44,1.36,1.37,4399800,1.37
2013-02-27,1.37,1.41,1.35,1.39,11255900,1.39
2013-02-26,1.36,1.37,1.33,1.36,15817700,1.36
2013-02-25,1.44,1.46,1.34,1.36,18073400,1.36
2013-02-22,1.46,1.46,1.39,1.41,22164000,1.41
2013-02-21,1.43,1.53,1.42,1.47,25104100,1.47
2013-02-20,1.53,1.54,1.47,1.52,24532300,1.52
2013-02-19,1.55,1.55,1.51,1.53,11223500,1.53
2013-02-15,1.58,1.59,1.54,1.54,10471700,1.54
2013-02-14,1.59,1.60,1.57,1.59,8254300,1.59
2013-02-13,1.64,1.66,1.62,1.62,8837800,1.62
2013-02-12,1.65,1.67,1.64,1.65,7228100,1.65
2013-02-11,1.67,1.68,1.64,1.65,10826900,1.65
2013-02-08,1.68,1.69,1.64,1.66,26912000,1.66
2013-02-07,1.78,1.78,1.57,1.59,59195500,1.59
2013-02-06,1.68,1.74,1.67,1.71,16848000,1.71
2013-02-05,1.71,1.74,1.69,1.72,11123300,1.72
2013-02-04,1.74,1.75,1.69,1.69,9901900,1.69
2013-02-01,1.76,1.76,1.70,1.74,17476000,1.74
2013-01-31,1.66,1.68,1.63,1.66,28620400,1.66
2013-01-30,1.66,1.67,1.56,1.56,24450100,1.56
2013-01-29,1.72,1.73,1.70,1.70,11357300,1.70
2013-01-28,1.78,1.78,1.74,1.75,11693400,1.75
2013-01-25,1.76,1.79,1.72,1.72,13171700,1.72
2013-01-24,1.70,1.74,1.70,1.70,8879200,1.70
2013-01-23,1.75,1.78,1.72,1.75,17787000,1.75
2013-01-22,1.67,1.70,1.66,1.69,8028100,1.69
